subject,runtime_s,peak_mem_GB
p_0,0.886511,6.6702
p_1,0.141913,10.6325
p_2,0.133139,10.6347
p_3,0.134691,10.6325
p_4,0.132970,10.6343
p_5,0.142208,10.6330
p_6,0.134942,10.6334
p_7,0.143331,10.6334
p_8,0.135999,10.6334
p_9,0.134953,10.6334
p_10,0.185415,10.6334
p_11,0.137015,10.6334
p_12,0.135607,10.6334
p_13,0.131780,10.6334
p_14,0.131605,10.6325
p_15,0.288732,10.6343
p_16,0.138808,10.6325
p_17,0.132792,10.6334
p_18,0.137456,10.6334
p_19,0.147845,10.6334
p_20,0.136577,10.6325
p_21,0.142382,10.6334
p_22,0.142954,10.6339
p_23,0.324643,10.6334
p_24,0.132325,10.6339
p_25,0.133164,10.6334
p_26,0.132998,10.6334
p_27,0.137114,10.6334
p_28,0.132118,10.6339
p_29,0.132028,10.6339
p_30,0.177139,10.6339
p_31,0.163543,10.6339
p_32,0.272235,10.6339
p_33,0.131974,10.6339
p_34,0.320742,10.6334
p_35,0.233252,10.6340
p_36,0.340250,10.6330
p_37,0.202406,10.6343
p_38,0.137310,10.6325
p_39,0.158131,10.6334
p_40,0.154683,10.6334
p_41,0.221553,10.6334
p_42,0.283385,10.6334
p_43,0.138428,10.6334
p_44,0.192633,10.6339
p_45,0.131200,10.6325
p_46,0.306769,10.6343
p_47,0.182637,10.6325
p_48,0.158022,10.6334
p_49,0.277514,10.6334
p_50,0.204831,10.6334
p_51,0.233718,10.6325
p_52,0.237137,10.6343
p_53,0.137195,10.6325
p_54,0.239365,10.6334
p_55,0.207503,10.6334
p_56,0.139992,10.6334
p_57,0.146332,10.6325
p_58,0.177403,10.6334
p_59,0.252432,10.6339
p_60,0.138291,10.6334
p_61,0.175553,10.6334
p_62,0.240420,10.6334
p_63,0.187236,10.6334
p_64,0.218044,10.6334
p_65,0.156249,10.6334
p_66,0.181062,10.6334
p_67,0.329673,10.6339
p_68,0.279721,10.6325
p_69,0.180716,10.6343
p_70,0.177055,10.6325
p_71,0.135425,10.6334
p_72,0.138044,10.6334
p_73,0.314764,10.6334
p_74,0.235467,10.6334
p_75,0.263829,10.6334
p_76,0.161516,10.6334
p_77,0.302591,10.6325
p_78,0.277438,10.6334
p_79,0.317023,10.6334
p_80,0.161918,10.6339
p_81,0.181400,10.6339
p_82,0.178537,10.6334
p_83,0.207812,10.6334
p_84,0.257956,10.6334
p_85,0.201781,10.6334
p_86,0.318949,10.6334
p_87,0.276253,10.6325
p_88,0.284211,10.6339
p_89,0.205234,10.6339
p_90,0.172451,10.6339
p_91,0.138289,10.6339
p_92,0.180387,10.6339
p_93,0.179956,10.6339
p_94,0.179824,10.6339
p_95,0.181634,10.6339
p_96,0.192170,10.6334
p_97,0.326365,10.6334
p_98,0.311482,10.6339
p_99,0.206632,10.6339
p_100,0.216586,10.6339
p_101,0.248413,10.6339
p_102,0.137836,10.6339
p_103,0.138017,10.6339
p_104,0.304448,10.6334
p_105,0.178457,10.6340
p_106,0.264562,10.6330
p_107,0.247469,10.6343
p_108,0.252138,10.6325
p_109,0.305004,10.6334
p_110,0.214872,10.6334
p_111,0.213177,10.6334
p_112,0.148397,10.6334
p_113,0.191503,10.6334
p_114,0.182566,10.6339
